file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,cleaning/0,false,364,0,2,2,0,1,4,6,0,0,0,4,0,0,0,0,0,1,2,1,0,0,0,0,0,0,4,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,updateButtonMouseExited/1[java.awt.event.MouseEvent],false,409,1,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,deleteButtonMouseExited/1[java.awt.event.MouseEvent],false,401,1,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,sortDataList/0,false,64,2,7,3,4,3,6,10,0,1,0,6,0,0,1,0,0,0,1,1,1,1,2,0,0,0,5,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,isRowSelected/0,false,348,0,2,2,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,informationsTableMouseClicked/1[java.awt.event.MouseEvent],false,307,1,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,selectedRow/0,false,344,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,RemainingDaysFrame/0,true,26,2,7,3,4,1,7,9,0,1,0,7,4,1,0,0,0,0,0,0,2,0,0,0,0,0,24,1,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,quitButtonMouseExited/1[java.awt.event.MouseEvent],false,421,1,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
C:\projects\ExamCounter\src\RemainingDaysFrame.java,RemainingDaysFrame,deleteButtonActionPerformed/1[java.awt.event.ActionEvent],false,320,2,9,1,8,3,11,15,0,1,1,11,7,1,0,0,0,0,2,1,2,0,3,0,0,0,29,2,0,false
