file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\Calculator\src\test\java\com\houarizegai\calculator\CalculatorTest.java,com.houarizegai.calculator.CalculatorTest,testCalc/0,false,20,2,1,0,1,2,3,15,0,2,0,3,0,0,0,0,1,0,1,7,2,0,1,0,0,0,6,0,0,false
C:\projects\Calculator\src\test\java\com\houarizegai\calculator\CalculatorTest.java,com.houarizegai.calculator.CalculatorTest,setUp/0,false,12,2,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,repaintFont/0,false,478,0,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,main/1[java.lang.String[]],false,623,1,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,Calculator/0,true,70,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initBtn/4[java.lang.String,int,int,java.awt.event.ActionListener]",false,444,0,0,0,0,1,6,10,1,1,4,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,11,2,0,false
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initCombo/5[java.lang.String[],int,int,java.lang.String,java.util.function.Consumer]",false,433,0,0,0,0,1,5,9,1,1,5,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,9,2,0,false
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"calc/3[double,java.lang.String,char]",false,456,0,1,1,0,7,5,21,7,1,3,5,0,0,0,0,0,0,0,0,1,5,1,0,0,0,5,1,0,false
