file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPAutori.java,org.dew.cms.gui.forms.DPAutori$Anonymous1,anonymous,0,0,0,0,5,1,0,6,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,14,1,0,3,0,0,0,4,5,0,4,2,0,0,0,23,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUILingue.java,org.dew.cms.gui.forms.GUILingue$Anonymous1,anonymous,1,1,0,1,3,1,0,11,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,17,1,0,0,0,0,0,1,3,0,3,1,0,0,0,29,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIIstituti.java,org.dew.cms.gui.forms.GUIIstituti,class,6,7,1,6,36,2,0,60,82,0.71428573,0.30476192,0.37142858,21,0,2,0,19,0,21,0,0,0,5,1,0,1,4,0,1,0,0,261,15,1,3,0,1,20,17,66,3,61,2,3,0,0,115,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIArticoli.java,org.dew.cms.gui.forms.GUIArticoli,class,15,20,5,15,39,2,0,70,143,0.78985506,0.2173913,0.35968378,23,0,4,0,19,0,23,0,0,0,6,1,0,1,5,0,1,0,8,305,14,1,5,0,1,30,18,59,1,56,2,6,0,0,121,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIUtenti.java,org.dew.cms.gui.forms.GUIUtenti$Anonymous1,anonymous,0,0,0,0,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,2,0,0,0,9,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIUtenti.java,org.dew.cms.gui.forms.GUIUtenti$Anonymous2,anonymous,1,1,0,1,2,1,0,9,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,17,1,0,0,0,0,0,1,3,0,3,1,0,0,0,27,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIUtenti.java,org.dew.cms.gui.forms.GUIUtenti$Anonymous3,anonymous,0,0,0,0,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,2,0,0,0,9,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\util\BooleanRenderer.java,org.dew.cms.gui.util.BooleanRenderer,class,1,3,2,1,5,7,0,12,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,1,27,1,0,1,0,2,1,5,2,0,2,1,0,0,0,35,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPPagine.java,org.dew.cms.gui.forms.DPPagine,class,7,9,2,7,35,2,0,51,6,0.6923077,0.46153846,0.5769231,13,0,5,0,8,0,13,0,0,0,8,1,0,1,7,0,1,0,1,173,13,3,4,1,0,13,25,34,15,33,5,1,0,0,95,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIArticolo.java,org.dew.cms.gui.forms.GUIArticolo,class,20,28,8,20,309,5,0,191,333,0.9216944,0.2631579,0.75106686,38,0,4,0,34,0,38,0,0,0,41,7,6,1,34,0,7,0,26,1180,78,4,150,13,4,179,132,236,28,178,15,6,0,0,273,1,0
